Type,Quartier,Price,Area,Rooms,Bedrooms,Bathrooms,Status
Appartement,Haut Founty,1400000,105,5,2,1,Nouveau
Appartement,Secteur Touristique,3100000,133,4,2,2,Nouveau
Appartement,Riad Salam,920000,85,2,2,1,Bon état
Villa,Hay Najah,6500000,400,3,9,4,Bon état
Appartement,Hay Najah,1050000,90,3,2,1,Bon état
Appartement,Hay Salam,650000,62,2,2,2,Bon état
Appartement,Hay Mohammadi,750000,60,3,2,1,Bon état
Appartement,Hay Salam,390000,60,1,2,1,Nouveau
Appartement,Secteur Touristique,2400000,98,5,2,2,Nouveau
Appartement,Ville Nouvelle,1600000,107,4,2,2,Nouveau
Appartement,Hay Mohammadi,980000,96,3,2,2,Bon état
Maison,Hay Dakhla,2000000,133,6,4,2,Bon état
Appartement,Ville Nouvelle,2500000,184,4,3,2,Bon état
Villa,Founti,4500000,178,7,5,3,Nouveau
Appartement,Haut Founty,355000,272,6,3,2,Nouveau
Maison,Hay Zaytoun,2780000,580,10,6,4,Bon état
Appartement,Hay Dakhla,81000,110,4,3,1,À rénover
Appartement,Hay Mohammadi,600000,60,4,2,1,Bon état
Villa,Founti,7600000,361,4,3,3,Bon état
Appartement,Hay Mohammadi,620000,60,5,2,1,Bon état
Appartement,Hay Mohammadi,600000,41,1,1,1,Bon état
Appartement,Hay Massira,90000,81,1,3,1,Bon état
Maison,Lekhiam,560000,80,2,2,2,Bon état
Appartement,Hay Mohammadi,960000,104,3,2,2,Bon état
Appartement,Founti,2080000,96,5,2,1,Bon état
Appartement,Hay Mohammadi,580000,41,4,2,1,Bon état
Appartement,Hay Salam,680000,62,3,3,1,Nouveau
Villa,Hay Zaytoun,5600000,320,4,4,2,Nouveau
Maison,Tilila,8600000,150,3,3,2,Nouveau
Appartement,Hay Salam,1200000,95,4,4,2,Nouveau
Appartement,Hay Mohammadi,,50,1,2,1,Bon état
Appartement,Anza,85000,75,3,2,2,Nouveau
Appartement,Hay Salam,670000,74,3,2,1,Bon état
Appartement,Hay Salam,650000,70,1,2,1,Bon état
Maison,Ben Serguaou,1000000,88,4,4,3,Bon état
Maison,Hay Mohammadi,2800000,100,12,4,3,Nouveau
Appartement,Hay Najah,1050000,90,3,2,1,Bon état
Villa,Secteur Touristique,7800000,500,7,4,4,Bon état
Villa,Founti,740000,324,1,9,4,Bon état
Maison,Hay Dakhla,1500000,150,2,4,2,Bon état
Appartement,Founti,2400000,132,4,3,2,Bon état
Villa,Al Wifaq,3900000,220,1,4,3,Bon état
Appartement,Hay Mohammadi,740000,68,5,2,1,Nouveau
Appartement,Cité Adrar,720000,60,3,2,1,Nouveau
Maison,Hay Mohammadi,6800000,225,4,3,2,Nouveau
Villa,Tikiouine,3000000,219,5,4,1,Bon état
Appartement,Hay Salam,600000,65,3,2,1,Bon état
Villa,Secteur Touristique,2686000,135,5,3,2,Bon état
Appartement,Hay Houda,960000,100,2,2,2,Nouveau
Appartement,Hay Al Wafaa,600000,61,1,2,1,Bon état
